\/firstRule / secondRule->;28036_addChild;28038_insertChild;28039_removeChild;28042_removeChildAtIndex;28044_addChildren;28045_XMLElement;28050_createElement;28051_createElement;28052_createElement;28053_createElement;28055_enumerateChildren;28058_getAttributes;28060_getAttributeType;28061_getAttributeType;28062_getAttribute;28063_getAttribute;28064_getAttribute;28065_getAttributeNamespace;28066_getAttributesInNamespace;28068_removeAttribute;28069_setName;28072_setName;28073_setContent;28079_getChildAtIndex;28080_hasAttribute;28081_hasChildren;28082_isLeaf;28083_getChildrenCount;28084_getAttributeCount;28085_getParent;28086_getName;28087_getFullName;28088_getChildren;28094_addChildren;28163_createPCDataElement;28215_setAttribute;28325_setAttribute;28327_enumerateAttributeNames;28335_removeAttribute;28363_addChildren;28364_addChildren;
28082_isLeaf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
28083_getChildrenCount;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
28084_getAttributeCount;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
28085_getParent;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
28086_getName;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
28087_getFullName;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
28088_getChildren;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
28094_addChildren;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
28163_createPCDataElement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
28215_setAttribute;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
28325_setAttribute;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
28327_enumerateAttributeNames;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
28335_removeAttribute;0;0;0;0;0;0;0;0;0;0;0;2;1;2;1;2;2;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;
28363_addChildren;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
28364_addChildren;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
